system,session,normalized_equity
M2,2024-05-03,0.9982284256249535
M2,2024-05-06,1.0022001886784435
M2,2024-05-07,1.0023068723370072
M2,2024-05-08,1.0009555017197107
M2,2024-05-09,1.0036226998717297
M2,2024-05-10,1.0000308653810428
M2,2024-05-13,0.9984127857951504
M2,2024-05-14,0.9993018518458233
M2,2024-05-15,0.997381465975732
M2,2024-05-16,0.9931850731496761
M2,2024-05-17,0.9950876602730595
M2,2024-05-20,0.9783383415061446
M2,2024-05-21,0.9840640785523781
M2,2024-05-22,0.9820571448216171
M2,2024-05-23,0.9760939849947704
M2,2024-05-24,0.9817353712092478
M2,2024-05-28,0.9822533546563391
M2,2024-05-29,0.9797575741203287
M2,2024-05-30,0.9769442968629427
M2,2024-05-31,0.9771997629278144
M2,2024-06-03,0.9792585230309249
M2,2024-06-04,0.976702872334883
M2,2024-06-05,0.9770568831163029
M2,2024-06-06,0.9831013178492127
M2,2024-06-07,0.9868095077340815
M2,2024-06-10,0.9911632071698788
M2,2024-06-11,0.9829119791457765
M2,2024-06-12,0.9776966702394622
M2,2024-06-13,0.975725878284731
M2,2024-06-14,0.97561909995646
M2,2024-06-17,0.9782854242375514
M2,2024-06-18,0.9793538298018972
M2,2024-06-20,0.9879247264752573
M2,2024-06-21,0.9893622629824163
M2,2024-06-24,0.9873244697953218
M2,2024-06-25,0.987373931911064
M2,2024-06-26,0.9992582229000941
M2,2024-06-27,1.0096323983901563
M2,2024-06-28,1.0064873237440108
M2,2024-07-01,1.014125509539779
M2,2024-07-02,1.0191042849357574
M2,2024-07-03,1.0148189799924248
M2,2024-07-05,1.0191042849357574
A1,2024-01-05,1.0
A1,2024-01-08,1.0
A1,2024-01-09,1.0
A1,2024-01-10,1.0
A1,2024-01-11,1.0
A1,2024-01-12,1.0
A1,2024-01-16,1.0
A1,2024-01-17,1.0
A1,2024-01-18,1.0
A1,2024-01-19,1.0
A1,2024-01-22,0.9951884237367935
A1,2024-01-23,0.9978203451012781
A1,2024-01-24,0.9996244572170191
A1,2024-01-25,1.0014922744945725
A1,2024-01-26,1.0044000998009353
A1,2024-01-29,1.0095565044051
A1,2024-01-30,1.011603724767094
A1,2024-01-31,0.9998454824463039
A1,2024-02-01,1.0072872982624037
A1,2024-02-02,1.035815668842636
A1,2024-02-05,1.032187244886427
A1,2024-02-06,1.0308851498837184
A1,2024-02-07,1.0344522007293566
A1,2024-02-08,1.0317696745087777
A1,2024-02-09,1.041960423725878
A1,2024-02-12,1.0389899418019526
A1,2024-02-13,1.0281786459732938
A1,2024-02-14,1.0365673445824217
A1,2024-02-15,1.0414868586985622
A1,2024-02-16,1.0392473061603518
A1,2024-02-20,1.0354429668136997
A1,2024-02-21,1.0409099581997463
A1,2024-02-22,1.0578191875361989
A1,2024-02-23,1.0604681023016447
A1,2024-02-26,1.0586982093669821
A1,2024-02-27,1.0563464143380228
A1,2024-02-28,1.0573379145992379
A1,2024-02-29,1.0682269374363107
A1,2024-03-01,1.0698371250963532
A1,2024-03-04,1.071166076992269
A1,2024-03-05,1.0674375707203179
A1,2024-03-06,1.0680375145664909
A1,2024-03-07,1.0718536741098421
A1,2024-03-08,1.0694102694396384
A1,2024-03-11,1.0623502884608818
A1,2024-03-12,1.072627173389096
A1,2024-03-13,1.078087879653754
A1,2024-03-14,1.0761434455125005
A1,2024-03-15,1.071457692502255
