symbol,decision_session,next_evaluation_session,action,strategy_forward_return,same_stock_buy_hold_forward_return,underlying_forward_close_return,SPY_forward_return,strategy_excess_vs_stock,strategy_excess_vs_spy,commission_cost_in_period,slippage_cost_in_period,transaction_cost_in_period,average_exposure_in_period
JPM,2024-04-19,2024-04-26,HOLD,0.04113400520184318,0.04113400520184296,0.04138860210815576,0.026371160838696506,2.220446049250313e-16,0.014762844363146677,0.0,0.0,0.0,0.9940205035358757
JPM,2024-04-26,2024-05-03,HOLD,-0.01531037256367107,-0.01531037256367107,-0.015401369142035604,0.005942863445018265,0.0,-0.021253236008689336,0.0,0.0,0.0,0.9940486856989575
JPM,2024-05-03,2024-05-10,HOLD,0.04309720357421809,0.04309720357421787,0.04335735677111674,0.01862019408196458,2.220446049250313e-16,0.02447700949225351,0.0,0.0,0.0,0.9941165596617477
JPM,2024-05-10,2024-05-17,HOLD,0.030111989148251528,0.030111989148251528,0.030286204506561942,0.016480490121593583,0.0,0.013631499026657945,0.0,0.0,0.0,0.9943216689581659
JPM,2024-05-17,2024-05-24,HOLD,-0.01981153118741985,-0.01981153118741974,-0.019922783014222567,-1.8849249630359388e-05,-1.1102230246251565e-16,-0.01979268193778949,0.0,0.0,0.0,0.9942618099054102
JPM,2024-05-24,2024-05-31,HOLD,0.009511533420552443,0.00951153342055222,0.009566031268534614,-0.0038980618803744482,2.220446049250313e-16,0.013409595300926891,0.0,0.0,0.0,0.9942841363425302
JPM,2024-05-31,2024-06-07,HOLD,-0.013151476766894432,-0.013151476766894432,-0.013226116247307962,0.012552843310065676,0.0,-0.025704320076960108,0.0,0.0,0.0,0.9942714580124702
JPM,2024-06-07,2024-06-14,HOLD,-0.03068124413282869,-0.030681244132828578,-0.03085770540464572,0.016374043071917477,-1.1102230246251565e-16,-0.047055287204746166,0.0,0.0,0.0,0.9941499967862216
JPM,2024-06-14,2024-06-21,HOLD,0.012927739781015246,0.012927739781015246,0.013004460293143616,0.0064091486791495456,0.0,0.0065185911018657006,0.0,0.0,0.0,0.9941707730465307
JPM,2024-06-21,2024-06-28,HOLD,0.030184812896566715,0.030184812896566493,0.03036164699887367,-0.0005293998050828197,2.220446049250313e-16,0.030714212701649535,0.0,0.0,0.0,0.9942447587744891
JPM,2024-06-28,2024-07-05,HOLD,0.018091533845452368,0.018091533845452146,0.012508646636989695,0.01902947265130095,2.220446049250313e-16,-0.0009379388058485816,0.0,0.0,0.0,0.9933433442858762
