session,symbol,series,equity,normalized_equity
2024-04-19,AMZN,same_stock_buy_and_hold,118887.48755726551,1.1888748755726553
2024-04-22,AMZN,same_stock_buy_and_hold,120657.55206628852,1.2065755206628852
2024-04-23,AMZN,same_stock_buy_and_hold,122230.19023396524,1.2223019023396524
2024-04-24,AMZN,same_stock_buy_and_hold,120221.84274618785,1.2022184274618783
2024-04-25,AMZN,same_stock_buy_and_hold,118233.91840306149,1.1823391840306148
2024-04-26,AMZN,same_stock_buy_and_hold,122284.65517547118,1.2228465517547118
2024-04-29,AMZN,same_stock_buy_and_hold,123196.93031692137,1.2319693031692136
2024-04-30,AMZN,same_stock_buy_and_hold,119139.37890819738,1.191393789081974
2024-05-01,AMZN,same_stock_buy_and_hold,121862.56471181332,1.2186256471181331
2024-05-02,AMZN,same_stock_buy_and_hold,125756.72122793988,1.2575672122793988
2024-05-03,AMZN,same_stock_buy_and_hold,126771.11168416728,1.2677111168416728
2024-05-06,AMZN,same_stock_buy_and_hold,128466.28817511298,1.2846628817511299
2024-05-07,AMZN,same_stock_buy_and_hold,128507.13432825574,1.2850713432825573
2024-05-08,AMZN,same_stock_buy_and_hold,127989.7327699492,1.279897327699492
2024-05-09,AMZN,same_stock_buy_and_hold,129010.92744630516,1.2901092744630516
2024-05-10,AMZN,same_stock_buy_and_hold,127635.71568805436,1.2763571568805436
2024-05-13,AMZN,same_stock_buy_and_hold,127016.19881497056,1.2701619881497055
2024-05-14,AMZN,same_stock_buy_and_hold,127356.59704042257,1.2735659704042257
2024-05-15,AMZN,same_stock_buy_and_hold,126621.33564801264,1.2662133564801263
2024-05-16,AMZN,same_stock_buy_and_hold,125014.65561540137,1.2501465561540137
2024-05-17,AMZN,same_stock_buy_and_hold,125743.10237149704,1.2574310237149704
2024-05-20,AMZN,same_stock_buy_and_hold,124953.37603758118,1.2495337603758119
2024-05-21,AMZN,same_stock_buy_and_hold,124687.8658302065,1.246878658302065
2024-05-22,AMZN,same_stock_buy_and_hold,124674.2573899494,1.246742573899494
2024-05-23,AMZN,same_stock_buy_and_hold,123258.19954663549,1.2325819954663548
2024-05-24,AMZN,same_stock_buy_and_hold,123053.9585008953,1.230539585008953
2024-05-28,AMZN,same_stock_buy_and_hold,124007.06937930251,1.240070693793025
2024-05-29,AMZN,same_stock_buy_and_hold,123918.5729209681,1.239185729209681
2024-05-30,AMZN,same_stock_buy_and_hold,122080.42454591669,1.2208042454591668
2024-05-31,AMZN,same_stock_buy_and_hold,120119.7274314106,1.201197274314106
2024-06-03,AMZN,same_stock_buy_and_hold,121413.23653526984,1.2141323653526983
2024-06-04,AMZN,same_stock_buy_and_hold,122094.0329861738,1.220940329861738
2024-06-05,AMZN,same_stock_buy_and_hold,123414.77980291864,1.2341477980291864
2024-06-06,AMZN,same_stock_buy_and_hold,125947.34341723724,1.2594734341723723
2024-06-07,AMZN,same_stock_buy_and_hold,125470.78801207343,1.2547078801207343
2024-06-10,AMZN,same_stock_buy_and_hold,127349.78247218796,1.2734978247218796
2024-06-11,AMZN,same_stock_buy_and_hold,127465.51657532837,1.2746551657532836
2024-06-12,AMZN,same_stock_buy_and_hold,127234.04830096789,1.272340483009679
2024-06-13,AMZN,same_stock_buy_and_hold,125150.81279511318,1.2515081279511318
2024-06-14,AMZN,same_stock_buy_and_hold,125035.07869197275,1.2503507869197275
2024-06-17,AMZN,same_stock_buy_and_hold,125307.393119476,1.2530739311947598
2024-06-18,AMZN,same_stock_buy_and_hold,124456.39755584602,1.2445639755584603
2024-06-20,AMZN,same_stock_buy_and_hold,126696.22366608997,1.2669622366608997
2024-06-21,AMZN,same_stock_buy_and_hold,128724.9941623591,1.287249941623591
2024-06-24,AMZN,same_stock_buy_and_hold,126335.40236406658,1.2633540236406657
2024-06-25,AMZN,same_stock_buy_and_hold,126859.6081425017,1.268596081425017
2024-06-26,AMZN,same_stock_buy_and_hold,131809.00126799842,1.3180900126799842
2024-06-27,AMZN,same_stock_buy_and_hold,134695.5819642118,1.346955819642118
2024-06-28,AMZN,same_stock_buy_and_hold,131563.9141371951,1.315639141371951
2024-07-01,AMZN,same_stock_buy_and_hold,134253.05800779685,1.3425305800779685
2024-07-02,AMZN,same_stock_buy_and_hold,136159.29018079702,1.3615929018079702
2024-07-03,AMZN,same_stock_buy_and_hold,134518.56821517154,1.3451856821517154
2024-07-05,AMZN,same_stock_buy_and_hold,136159.29018079702,1.3615929018079702
2024-01-05,JPM,strategy,100000.0,1.0
2024-01-08,JPM,strategy,99900.07495003122,0.9990007495003123
2024-01-09,JPM,strategy,99110.25889099228,0.9911025889099228
2024-01-10,JPM,strategy,99319.32810400856,0.9931932810400855
2024-01-11,JPM,strategy,98901.18967797601,0.9890118967797601
2024-01-12,JPM,strategy,98175.25612044768,0.9817525612044768
2024-01-16,JPM,strategy,97559.66585745607,0.9755966585745607
2024-01-17,JPM,strategy,97036.98835316469,0.9703698835316469
2024-01-18,JPM,strategy,97228.63591577118,0.9722863591577119
2024-01-19,JPM,strategy,98906.99395232859,0.9890699395232858
