Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-05,467.4899902,470.4400024,466.4299927,467.9200134,86118900,0,0
2024-01-08,468.4299927,474.75,468.2999878,474.6000061,74879100,0,0
2024-01-09,471.8699951,474.9299927,471.3500061,473.8800049,65931400,0,0
2024-01-10,474.1600037,477.4500122,473.8699951,476.5599976,67310600,0,0
2024-01-11,477.5899963,478.1199951,472.2600098,476.3500061,77940700,0,0
2024-01-12,477.8399963,478.6000061,475.230011,476.6799927,58026400,0,0
2024-01-16,475.2600098,476.6099854,473.0599976,474.9299927,85014900,0,0
2024-01-17,471.8200073,472.7900085,469.8699951,472.2900085,68843900,0,0
2024-01-18,474.0100098,477.0599976,472.4200134,476.4899902,91856200,0,0
2024-01-19,477.6499939,482.7200012,476.5400085,482.4299927,110834500,0,0
2024-01-22,484.0100098,485.2200012,482.7799988,483.4500122,75844900,0,0
2024-01-23,484.0100098,485.1099854,482.8900146,484.8599854,49945300,0,0
2024-01-24,487.8099976,488.769989,484.8800049,485.3900146,81765000,0,0
2024-01-25,487.5799866,488.3099976,485.3900146,488.0299988,72525000,0,0
2024-01-26,487.5899963,489.1199951,486.5400085,487.4100037,76641600,0,0
2024-01-29,487.730011,491.4200134,487.1700134,491.269989,61322800,0,0
2024-01-30,490.5599976,491.6199951,490.1099854,490.8900146,58618400,0,0
2024-01-31,488.6199951,489.0799866,482.8599854,482.8800049,126011100,0,0
2024-02-01,484.6300049,489.230011,483.7999878,489.2000122,91891600,0,0
2024-02-02,489.6499939,496.0499878,489.2999878,494.3500061,99228200,0,0
2024-02-05,493.7000122,494.3800049,490.230011,492.5499878,75757100,0,0
2024-02-06,493.519989,494.3200073,492.0499878,493.980011,55918600,0,0
2024-02-07,496.2900085,498.5299988,495.3599854,498.1000061,70556500,0,0
2024-02-08,498.1000061,498.7099915,497.2600098,498.3200073,52343600,0,0
2024-02-09,498.8399963,501.6499939,498.4899902,501.2000122,63979400,0,0
2024-02-12,501.1700134,503.5,500.2399902,500.980011,56502300,0,0
2024-02-13,494.5299988,497.0899963,490.7200012,494.0799866,113099200,0,0
2024-02-14,496.7900085,499.0700073,494.3999939,498.5700073,68387800,0,0
2024-02-15,499.2900085,502.2000122,498.7999878,502.0100098,61683000,0,0
2024-02-16,501.7000122,502.8699951,498.75,499.5100098,75532900,0,0
2024-02-20,497.7200012,498.4100037,494.4500122,496.7600098,71736700,0,0
2024-02-21,495.4200134,497.3699951,493.5599976,497.2099915,59293400,0,0
2024-02-22,504.0100098,508.4899902,503.019989,507.5,76402500,0,0
2024-02-23,509.269989,510.1300049,507.1000061,507.8500061,61321800,0,0
2024-02-26,508.2999878,508.75,505.8599854,505.9899902,50386700,0,0
2024-02-27,506.7000122,507.1600037,504.75,506.9299927,48854500,0,0
2024-02-28,505.3299866,506.8599854,504.9599915,506.2600098,56506600,0,0
