research_question,contrast,role,scope,metric,delta,storage_unit,display_unit,direction_metadata
Context,A2-M1,SECONDARY CONTEXT,aggregate,sharpe_ratio,-0.7626443218617935,ratio,absolute_ratio_difference,higher
Context,A2-M1,SECONDARY CONTEXT,aggregate,maximum_drawdown,-0.012381667727957124,decimal_fraction,percentage_points,lower
Context,A2-M1,SECONDARY CONTEXT,aggregate,calmar_ratio,-0.001699731951918082,ratio,absolute_ratio_difference,higher
Context,A2-M1,SECONDARY CONTEXT,aggregate,average_exposure,-0.07450943016439115,decimal_fraction,percentage_points,descriptive
Context,A2-M1,SECONDARY CONTEXT,aggregate,turnover,-1.008072761616931,ratio,absolute_ratio_difference,descriptive
Context,A2-M1,SECONDARY CONTEXT,aggregate,total_transaction_cost,-312.77673281627006,USD,USD_difference,lower_cost_only
Context,A2-M1,SECONDARY CONTEXT,AAPL,cumulative_return,-0.29085068064816744,decimal_fraction,percentage_points,higher
Context,A2-M1,SECONDARY CONTEXT,AAPL,sharpe_ratio,,ratio,absolute_ratio_difference,higher
Context,A2-M1,SECONDARY CONTEXT,AAPL,maximum_drawdown,-0.060018686681325484,decimal_fraction,percentage_points,lower
Context,A2-M1,SECONDARY CONTEXT,AAPL,calmar_ratio,,ratio,absolute_ratio_difference,higher
Context,A2-M1,SECONDARY CONTEXT,AAPL,average_exposure,-0.4556213627327146,decimal_fraction,percentage_points,descriptive
Context,A2-M1,SECONDARY CONTEXT,AAPL,turnover,-0.9587305999274173,ratio,absolute_ratio_difference,descriptive
Context,A2-M1,SECONDARY CONTEXT,AAPL,total_transaction_cost,-99.9250499687671,USD,USD_difference,lower_cost_only
Context,A2-M1,SECONDARY CONTEXT,AMZN,cumulative_return,0.2955940879475756,decimal_fraction,percentage_points,higher
Context,A2-M1,SECONDARY CONTEXT,AMZN,sharpe_ratio,1.7945224282556882,ratio,absolute_ratio_difference,higher
Context,A2-M1,SECONDARY CONTEXT,AMZN,maximum_drawdown,0.007014224123361723,decimal_fraction,percentage_points,lower
Context,A2-M1,SECONDARY CONTEXT,AMZN,calmar_ratio,8.858808811812066,ratio,absolute_ratio_difference,higher
Context,A2-M1,SECONDARY CONTEXT,AMZN,average_exposure,0.536,decimal_fraction,percentage_points,descriptive
Context,A2-M1,SECONDARY CONTEXT,AMZN,turnover,-0.17663225520376125,ratio,absolute_ratio_difference,descriptive
Context,A2-M1,SECONDARY CONTEXT,AMZN,total_transaction_cost,-1.3130829756846651e-11,USD,USD_difference,lower_cost_only
Context,A2-M1,SECONDARY CONTEXT,JPM,cumulative_return,-0.13499257510856055,decimal_fraction,percentage_points,higher
Context,A2-M1,SECONDARY CONTEXT,JPM,sharpe_ratio,,ratio,absolute_ratio_difference,higher
Context,A2-M1,SECONDARY CONTEXT,JPM,maximum_drawdown,-0.02130006204722279,decimal_fraction,percentage_points,lower
Context,A2-M1,SECONDARY CONTEXT,JPM,calmar_ratio,,ratio,absolute_ratio_difference,higher
Context,A2-M1,SECONDARY CONTEXT,JPM,average_exposure,-0.303906927760459,decimal_fraction,percentage_points,descriptive
Context,A2-M1,SECONDARY CONTEXT,JPM,turnover,-1.9501251213007056,ratio,absolute_ratio_difference,descriptive
Context,A2-M1,SECONDARY CONTEXT,JPM,total_transaction_cost,-212.85168284748988,USD,USD_difference,lower_cost_only
