session,symbol,series,drawdown
2024-05-14,AMZN,same_stock_buy_and_hold,-0.012823180474934137
2024-05-15,AMZN,same_stock_buy_and_hold,-0.018522398416886632
2024-05-16,AMZN,same_stock_buy_and_hold,-0.03097622744063344
2024-05-17,AMZN,same_stock_buy_and_hold,-0.02532983166226921
2024-05-20,AMZN,same_stock_buy_and_hold,-0.03145122269129297
2024-05-21,AMZN,same_stock_buy_and_hold,-0.03350926701846979
2024-05-22,AMZN,same_stock_buy_and_hold,-0.03361474986807389
2024-05-23,AMZN,same_stock_buy_and_hold,-0.044591012664907725
2024-05-24,AMZN,same_stock_buy_and_hold,-0.04617414248021112
2024-05-28,AMZN,same_stock_buy_and_hold,-0.03878631187335091
2024-05-29,AMZN,same_stock_buy_and_hold,-0.03947227282321897
2024-05-30,AMZN,same_stock_buy_and_hold,-0.05372027810026392
2024-05-31,AMZN,same_stock_buy_and_hold,-0.06891819313984171
2024-06-03,AMZN,same_stock_buy_and_hold,-0.05889184010554094
2024-06-04,AMZN,same_stock_buy_and_hold,-0.05361479525065971
2024-06-05,AMZN,same_stock_buy_and_hold,-0.04337731503957798
2024-06-06,AMZN,same_stock_buy_and_hold,-0.0237467018469657
2024-06-07,AMZN,same_stock_buy_and_hold,-0.027440616886543645
2024-06-10,AMZN,same_stock_buy_and_hold,-0.012876002110817963
2024-06-11,AMZN,same_stock_buy_and_hold,-0.011978914511873495
2024-06-12,AMZN,same_stock_buy_and_hold,-0.01377309023746709
2024-06-13,AMZN,same_stock_buy_and_hold,-0.029920834828496168
2024-06-14,AMZN,same_stock_buy_and_hold,-0.030817922427440636
2024-06-17,AMZN,same_stock_buy_and_hold,-0.028707136675461764
2024-06-18,AMZN,same_stock_buy_and_hold,-0.035303442744063385
2024-06-20,AMZN,same_stock_buy_and_hold,-0.017941920316622784
2024-06-21,AMZN,same_stock_buy_and_hold,-0.0022163493403694057
2024-06-24,AMZN,same_stock_buy_and_hold,-0.020738747757256037
2024-06-25,AMZN,same_stock_buy_and_hold,-0.016675481266490766
2024-06-26,AMZN,same_stock_buy_and_hold,0.0
2024-06-27,AMZN,same_stock_buy_and_hold,0.0
2024-06-28,AMZN,same_stock_buy_and_hold,-0.02324996693543202
2024-07-01,AMZN,same_stock_buy_and_hold,-0.00328536355804554
2024-07-02,AMZN,same_stock_buy_and_hold,0.0
